Cluster,A,B,C,D,E,F
Number of Patients,861,2414,118,265,97,391
Echoqualitaet,66%,49%,80%,62%,72%,65%
Mitralklappe,8%,3%,13%,3%,12%,4%
Aortenklappe,5%,2%,4%,3%,3%,2%
Aorta,3%,4%,3%,5%,2%,3%
Trikuspidalklappe,0%,0%,0%,0%,0%,0%
VenaCavaInferior,3%,0%,2%,0%,2%,0%
RechterVorhof,0%,0%,1%,1%,0%,1%
RechterVentrikel,0%,0%,0%,0%,0%,0%
LinkerVorhof,2%,1%,2%,0%,0%,2%
LinkerVentrikel,2%,0%,1%,2%,1%,1%
RegionaleWandbewegungen,2%,2%,0%,6%,3%,3%
Groesse_Echokardiographie,170.92,171.26,170.81,172.07,170.22,170.85
Gewicht_Echokardiographie,75.93,77.53,78.14,78.99,75.49,74.86
BMI,26.03,26.31,26.64,26.62,25.99,25.55
ESD_M_Mode,34.45,35.2,34.78,35.12,34.79,34.11
ESV,38.77,36.96,37.64,38.98,38.36,37.17
EDV,95.94,94.47,91.52,98.76,93.87,92.8
EF,59.72,61.01,59.31,60.32,59.88,60.36
Septum,8.3,8.85,8.36,8.8,8.3,8.3
Hinterwand,7.42,7.85,7.31,7.83,7.57,7.51
EDD,46.39,46.8,46.26,47.34,46.65,46.17
LVMMI,63.1,70.04,61.67,69.64,65.39,64.49
rTh,59.43,59.71,58.53,58.96,59.09,58.4
LV_Fuellung,59.45,59.05,59.24,59.05,59.1,59.09
HeartFrequency,75.99,75.16,74.26,74.37,75.59,75.43
BloodPressure_Systole,127.68,126.75,128.13,128.27,127.78,126.33
BloodPressure_Diastole,77.98,77.38,77.8,77.69,77.42,76.53
